Lasso,61056
Mozart,56245
Chopin,43362
Josquin Des Prés,25623
Stravinsky,19488
Mendelssohn Bartholdy,15825
Métastase,12804
Korsakov,11583
Alphonse,11323
Debussy,10830
Rachmaninoff,10040
Tchaikovsky,9864
Haydn,9760
Bach,9468
Handel,8016
Dargomyszski,7980
Liszt,7806
Tōru Takemitsu,7497
Wagner,7440
Moussorgski,7344
Chostakovitch,7315
Schumann,7304
Beethoven,6588
Brahms,5958
Guno,5800
Schubert,5612
Vivaldi,5352
Wolfgang,5096
Frangidelphe Escorche-Messes,4875
Granados,4725
Scarlatti,4692
Kantchely,4410
Charpentier,4332
Hindemit,4284
Chiacheron,4260
Telemann,4230
Shnittke,4214
Byrd,4104
Praetorius Creuzburgensis,4074
Bruni,4060
Couperin,4056
Benoit,4046
Sibelius,3872
Buranello,3861
Strauss,3861
Purcell,3834
Beer,3640
Sennffl,3626
Monteverdi,3624
Wanhal,3500
Elgar,3375
Scarlatti,3372
Vaynberg,3300
Sauguet,3264
Glasunow,3185
Bach,3162
Kabalewski,3150
Venosa,3120
Cherubini,3090
Mompou Dencausse,3030
Boysset,2944
Saint-Saëns,2940
M***,2873
Strauss,2868
Archadelt,2856
Denissov,2730
Grieg,2704
Rameau,2652
Bach,2646
Satie,2632
Philippe,2556
Rousseau,2541
Poulenc,2538
Ravel,2484
Tanejew,2478
Gossec,2475
Fauré,2442
Koechlin,2442
Tárrega y Eixea,2408
Hugo,2400
Bull,2400
Boccherini,2388
Cimarosa,2346
Britten,2244
Verdi,2232
Ljadov,2128
Smetana,2112
Wolf,2070
Hensel,2070
Griffagno delli Impacci,2048
Rubinštejn,2048
Szymanowski,2040
Xenakis,2040
Créquillon,2016
Glinka,1998
Villa-Lobos,1976
Berlioz,1962
Dumont,1910
Francesco da Milano,1904
Bortnyansky,1890
Ives,1880
Paganini,1860
Paularma,1845
Çavallos,1820
Bartók,1788
Donizetti,1752
Sarasate y Navascués,1752
Stockhausen,1728
Milhaud,1722
Kaplan,1716
Schoenberg,1704
Bernstein,1680
Pechel,1666
Ligeti,1664
Offenbach,1578
Félix,1560
Francesco degli Organi,1554
Pergolesi,1540
Massenet,1536
Austriacus,1525
Martinů,1506
Guillaume de Machaut,1485
Borodine,1484
Franck,1482
Rihm,1428
Komitas,1421
Strauss,1386
Eisler,1368
Werbeck,1344
Schütz,1344
Cage,1338
Pamigerus,1323
Berio,1302
Mc Millan,1300
Soler,1296
Williams,1278
Desfontaines,1278
Alkan,1275
Ustwolskaja,1274
Spohr,1264
Desmarets,1260
Campra,1254
Gershwin,1254
Reger,1248
Tchesnokov,1230
Weber,1218
Jacquet of Mantua,1210
Mahler,1206
Kapsberger,1188
Bizet,1170
Pärt,1158
Djalāl al-Dīn Rūmi,1150
Messiaen,1128
Enesco,1128
Kozma,1125
Honegger,1122
Matheus de Perusio,1120
Piazzolla,1116
Duke,1116
Rossini,1108
Dvořák,1104
Webern,1092
Pétrarque,1089
Aldrovandon,1080
Bruckner,1068
Sor,1062
Correa de Araujo,1056
Tallis,1056
Victoria,1056
Jolivet,1044
Omar Qayyam,1040
Carter,1038
Donatoni,1032
Dusapin,990
Sigismondo d'India,984
Nielsen,972
Ruiz,960
Rambaud de Vaqueiras,960
Henze,954
Duny,944
Alyabyev,936
Folque de Marseille,936
Janáček,930
Casanovas,930
Spendiarean,912
Tansman,909
Georges,900
Lalande,900
Buxtehude,892
Glass,888
